rating_id,user_id,show_id,rating,rating_date
63,1354,s3980,3,2026-05-23
64,525,s7903,5,2021-01-05
65,1765,s8561,5,2020-02-26
66,1502,s7176,5,2019-07-23
67,58,s3838,2,2021-10-21
68,780,s1682,5,2023-06-08
69,1768,s6351,2,2023-11-15
70,4775,s8283,4,2022-09-20
71,2134,s1765,4,2024-08-22
72,5938,s6740,4,2020-09-26
73,4110,s2238,4,2025-02-10
74,1063,s1226,2,2025-01-06
75,5573,s4765,3,2026-06-14
76,4949,s5141,4,2020-02-24
77,5736,s6084,5,2022-02-03
78,4355,s6931,5,2023-12-20
79,5670,s4910,3,2019-02-24
80,88,s1760,5,2024-04-07
81,3171,s8095,5,2026-01-25
82,4753,s7342,4,2023-12-03
83,4575,s7812,5,2022-08-10
84,4781,s6912,4,2025-01-07
85,5230,s1092,1,2026-03-20
86,5916,s5673,5,2020-08-22
87,2938,s8112,5,2024-12-19
88,2654,s2586,4,2025-04-20
89,5699,s1173,4,2020-11-27
90,209,s8168,2,2022-02-01
91,82,s5225,4,2025-05-14
92,5479,s504,2,2023-04-17
93,5456,s8628,3,2019-01-27
94,4767,s4865,1,2023-08-12
95,3423,s3878,3,2025-11-12
96,5211,s913,4,2021-01-27
97,5972,s1197,5,2021-12-29
98,3580,s2537,5,2025-06-27
99,5652,s1609,4,2022-01-07
100,4647,s2236,4,2019-07-04
101,2260,s1373,4,2025-03-08
102,5766,s796,3,2025-01-10
103,2916,s1574,5,2021-08-06
104,1716,s2643,5,2023-11-14
105,5620,s4467,5,2020-05-16
106,1331,s874,4,2024-11-11
107,3828,s5472,4,2020-05-15
108,2313,s8390,4,2024-09-20
109,2235,s8422,3,2020-04-23
110,5914,s1517,5,2023-01-20
111,5480,s2304,3,2019-06-04
112,5049,s5773,5,2023-10-07
113,4701,s7336,1,2025-12-18
114,4916,s6521,3,2020-09-15
115,5798,s6530,4,2019-09-05
116,5119,s5327,3,2025-11-10
117,4650,s7695,4,2022-12-26
118,1229,s3291,4,2025-07-26
119,310,s7342,5,2026-05-07
120,5209,s7036,4,2021-07-11
121,4476,s3349,5,2026-03-06
122,1855,s5793,4,2024-10-07
123,147,s3601,5,2023-04-19
124,1012,s4694,2,2022-07-05
125,3188,s3206,5,2026-04-03
126,2864,s5092,5,2023-06-04
127,3785,s4801,5,2023-02-02
128,559,s5259,4,2024-07-18
129,2544,s1934,5,2025-02-04
130,2794,s8451,5,2021-06-14
131,658,s2570,3,2024-10-14
132,5415,s7341,3,2026-02-05
133,3766,s6492,4,2019-01-04
134,3970,s291,5,2021-06-18
135,2748,s3825,3,2019-09-02
136,1788,s1071,4,2026-05-26
137,3109,s7155,5,2022-02-27
138,971,s4095,4,2021-08-31
139,4081,s1432,4,2024-11-30
140,3001,s1062,3,2025-07-02
141,5024,s2269,5,2025-06-15
142,4795,s3464,5,2022-06-30
143,2077,s7237,4,2024-08-24
144,5592,s621,5,2021-10-25
145,5744,s8419,3,2025-03-14
146,2176,s4754,3,2024-03-25
147,2634,s5379,5,2019-03-01
148,2229,s7490,1,2022-09-29
149,2629,s3145,5,2019-10-20
150,268,s1838,3,2022-11-15
151,5892,s3755,4,2020-09-25
152,2645,s6816,5,2021-07-30
153,4372,s1704,3,2024-10-15
154,5394,s5050,5,2023-12-17
155,805,s5932,4,2024-11-25
156,2645,s29,3,2023-01-28
157,700,s5858,1,2026-02-13
158,4111,s1258,4,2022-03-22
159,831,s8024,5,2026-03-14
160,1028,s1936,3,2025-08-07
161,280,s4759,5,2022-03-07
162,2551,s5171,4,2022-03-04
163,3205,s6998,5,2019-04-04
164,3935,s6272,3,2021-06-19
165,5332,s44,4,2023-06-28
166,5102,s4236,5,2019-09-26
167,1464,s5186,1,2020-09-16
168,691,s1121,5,2026-03-31
169,1602,s5898,4,2020-03-03
170,4405,s1485,4,2021-08-23
171,2004,s5494,5,2019-12-07
172,699,s7829,4,2021-07-20
173,5587,s3463,5,2025-02-07
174,4918,s2442,4,2026-05-31
175,1772,s5806,5,2020-08-03
176,2933,s5378,4,2024-09-05
177,5758,s1234,4,2025-11-03
178,5170,s8656,5,2023-08-05
179,2365,s6584,5,2019-02-18
180,502,s6654,4,2025-06-04
181,2984,s8334,4,2023-09-28
182,3881,s3691,5,2025-11-29
183,3299,s3049,4,2022-08-12
184,5666,s1483,3,2024-06-19
185,3199,s5769,4,2022-01-28
186,1998,s7968,5,2025-10-04
187,741,s3807,5,2022-10-01
188,3987,s3782,5,2026-06-08
189,5790,s4508,5,2023-06-08
190,5203,s8609,4,2021-12-27
191,1404,s3950,4,2023-05-10
192,1555,s7895,3,2020-09-26
193,3126,s2377,5,2021-01-24
194,3692,s150,4,2019-02-12
195,2801,s5336,4,2025-05-15
196,345,s637,3,2019-12-27
197,3874,s8563,5,2025-09-26
198,2625,s8506,5,2019-10-26
199,962,s1791,5,2019-11-22
200,4875,s1907,4,2025-06-19
201,1513,s7424,5,2020-09-26
202,5703,s209,4,2020-11-19
203,4806,s6155,5,2021-01-22
204,536,s7539,4,2021-07-06
205,4742,s8806,4,2022-08-27
206,4740,s6105,4,2026-06-14
207,2549,s4946,3,2021-05-11
208,582,s3528,5,2025-04-21
209,4684,s8389,2,2025-06-27
210,2240,s4066,5,2024-06-27
211,5647,s7390,5,2024-10-23
212,6000,s6590,3,2021-11-28
213,3676,s4225,4,2023-08-17
214,121,s6467,4,2020-10-21
215,54,s2217,2,2022-10-16
216,4805,s641,4,2023-09-25
217,3615,s7760,4,2025-10-03
218,4375,s6566,4,2026-06-26
219,857,s2730,4,2024-05-27
220,4759,s2976,5,2020-03-30
221,4057,s840,2,2019-04-29
222,2793,s6368,5,2024-03-18
223,5829,s3730,4,2020-08-14
224,5094,s2623,4,2019-05-19
225,4822,s7525,1,2024-01-22
226,1908,s7127,5,2022-09-21
227,2314,s3165,4,2021-10-27
228,5169,s6468,5,2022-10-04
229,2307,s5989,4,2022-07-03
230,1357,s5064,4,2024-04-21
231,599,s2502,5,2023-07-05
232,5175,s2322,4,2021-10-27
233,5258,s1819,5,2025-08-23
234,1212,s3214,2,2023-08-04
235,2337,s3297,5,2023-11-30
236,5028,s5281,3,2023-09-14
237,5502,s703,4,2019-04-15
238,1219,s7594,5,2022-07-31
239,406,s5228,4,2021-03-18
240,3167,s6459,5,2023-06-12
241,700,s3925,3,2023-10-02
242,17,s6446,5,2025-08-07
243,3240,s7732,4,2026-05-18
244,1418,s1205,4,2023-08-19
245,1401,s4616,5,2021-05-30
246,2416,s3706,5,2026-01-18
247,2141,s7522,2,2021-05-19
248,1339,s549,5,2025-11-03
249,33,s2122,4,2026-04-22
250,1467,s1802,4,2023-04-23
251,1301,s5386,5,2026-01-23
252,813,s6231,4,2021-12-03
253,2616,s4577,4,2024-07-20
254,5148,s6587,5,2022-05-31
255,3118,s3373,4,2025-05-14
256,1815,s5101,5,2020-02-04
257,2978,s2961,4,2023-07-13
258,857,s1492,5,2021-09-09
259,327,s7764,5,2022-02-15
260,910,s4489,5,2021-12-15
261,3790,s442,5,2022-10-29
262,1362,s5107,4,2024-02-11
263,3956,s1080,4,2026-02-21
264,3376,s125,4,2023-10-10
265,1841,s6879,5,2019-04-13
266,5405,s3506,4,2021-02-03
267,4517,s2218,3,2026-03-10
268,4881,s5750,5,2021-10-08
269,50,s7446,4,2023-11-12
270,1720,s7111,5,2025-08-06
271,168,s8138,5,2019-06-24
272,4016,s511,4,2024-11-26
273,3819,s7875,4,2022-09-21
274,675,s607,5,2023-07-11
275,5846,s2950,5,2019-09-06
276,3093,s1209,5,2021-01-02
277,955,s250,4,2020-12-03
278,1802,s4910,4,2019-05-15
279,2436,s2476,5,2024-12-17
280,227,s3968,1,2023-06-10
281,5712,s8495,5,2020-03-01
282,1901,s7434,5,2025-01-07
283,3515,s6652,3,2024-11-01
284,3916,s1752,4,2026-03-26
285,4271,s5172,2,2024-01-17
286,5389,s2005,2,2024-02-21
287,3641,s621,2,2020-11-17
288,2016,s6155,4,2022-02-03
289,5362,s661,5,2022-12-29
290,58,s2205,3,2025-10-10
291,915,s5702,1,2022-05-31
292,1678,s6486,5,2021-03-28
293,1516,s8413,4,2019-07-07
294,2225,s8726,1,2023-07-06
295,5309,s4267,5,2020-02-10
296,52,s4078,4,2026-05-18
297,279,s2071,3,2025-07-08
298,3193,s7718,4,2024-09-01
299,4273,s4537,4,2024-01-28
300,456,s253,4,2021-01-08
301,1790,s7413,4,2026-03-16
302,4806,s5109,4,2021-11-10
303,4764,s4925,4,2019-01-17
304,3969,s6784,4,2024-08-01
305,614,s481,4,2019-12-16
306,5181,s1388,4,2024-11-09
307,2430,s319,5,2023-10-30
308,456,s1951,3,2019-03-24
309,3297,s1920,5,2023-11-03
310,3918,s6109,5,2024-03-18
311,3949,s4020,3,2023-01-26
312,5804,s2956,4,2026-02-08
313,2448,s5070,4,2022-04-10
314,3276,s4392,3,2026-01-17
315,4615,s676,5,2023-09-14
316,4001,s3082,3,2023-10-23
317,1834,s6725,3,2023-09-05
318,83,s3722,5,2024-02-26
319,3493,s7326,1,2021-08-24
320,683,s5853,3,2020-12-18
321,777,s8086,1,2020-08-10
322,3604,s911,3,2024-05-16
323,5637,s8387,5,2019-07-31
324,1951,s2820,4,2024-08-21
325,622,s657,2,2022-07-16
326,2595,s7754,4,2023-01-16
327,133,s1981,4,2021-04-29
328,4861,s2719,4,2025-05-12
329,4061,s5835,5,2020-07-21
330,2827,s5225,4,2026-02-03
331,2047,s3436,4,2025-09-12
332,4822,s2344,3,2021-05-02
333,3396,s3881,3,2020-02-27
334,5718,s5958,5,2025-08-25
335,4612,s1529,3,2019-01-01
336,2786,s6596,5,2020-10-11
337,2000,s4571,3,2026-03-11
338,830,s7683,4,2021-04-13
339,5247,s5186,5,2022-03-13
340,1608,s3661,4,2020-08-02
341,3644,s8755,5,2024-05-04
342,4901,s7759,3,2021-11-04
343,416,s1842,2,2024-02-22
344,1075,s251,5,2025-06-08
345,5719,s5924,5,2025-10-01
346,4287,s3441,4,2023-05-16
347,4406,s1550,5,2024-08-07
348,280,s6869,1,2020-10-15
349,1736,s5933,3,2020-08-07
350,1235,s7996,5,2020-09-07
351,359,s3515,5,2020-11-27
352,2052,s2567,3,2024-01-16
353,5674,s3704,3,2022-02-03
354,1173,s4090,2,2021-05-29
355,3275,s504,5,2019-12-21
356,1026,s3053,5,2019-12-11
357,1173,s2892,5,2022-11-14
358,2895,s1804,4,2024-09-07
359,2314,s6633,5,2022-07-11
360,3583,s7140,5,2019-09-16
361,697,s1351,4,2020-07-16
362,91,s2866,4,2020-04-14
363,5218,s5081,4,2023-12-22
364,5028,s6731,5,2019-07-17
365,5218,s4582,4,2025-11-11
366,5760,s4343,5,2024-01-07
367,2308,s1670,2,2024-11-04
368,4325,s8700,4,2019-02-03
369,1076,s7501,2,2024-09-04
370,5809,s4342,4,2019-07-08
371,704,s429,5,2021-11-23
372,5610,s872,5,2022-03-29
373,54,s5361,4,2019-05-06
374,1001,s8780,5,2019-09-27
375,2118,s1839,5,2019-08-15
376,420,s4811,3,2020-10-09
377,4039,s4299,4,2025-03-30
378,4433,s4433,5,2023-08-30
379,2353,s2342,4,2023-06-22
380,4100,s131,1,2021-03-12
381,1067,s2433,4,2022-04-14
382,3772,s4700,4,2025-10-25
383,4389,s2406,2,2019-04-29
384,4574,s1915,4,2021-10-11
385,4748,s4979,5,2019-12-28
386,1433,s177,4,2025-09-09
387,691,s5133,5,2019-09-22
388,1083,s7828,3,2021-02-12
389,10,s5275,3,2020-06-01
390,1127,s1672,4,2025-01-04
391,4948,s4526,5,2025-07-07
392,574,s2546,3,2022-03-17
393,4361,s7855,5,2024-03-03
394,1163,s2008,5,2022-04-17
395,4961,s8590,5,2020-06-12
396,768,s1757,5,2024-03-26
397,1925,s6607,4,2026-06-25
398,4309,s6724,5,2022-06-11
399,5040,s2900,2,2019-08-06
400,361,s4696,4,2019-11-29
401,297,s6895,3,2021-05-07
402,2167,s273,4,2022-10-24
403,3969,s6637,2,2026-04-02
404,4234,s3067,5,2021-05-02
405,607,s375,2,2022-09-10
406,2256,s5769,5,2020-07-20
407,1168,s7091,5,2026-02-27
408,3985,s3995,4,2022-08-30
409,2977,s3334,5,2019-06-13
410,2123,s4724,4,2021-04-12
411,1704,s2713,5,2023-05-03
412,2262,s235,4,2026-01-13
413,5705,s6254,3,2023-02-11
414,5390,s5529,2,2022-08-30
415,622,s5480,5,2024-12-16
416,3460,s7595,5,2023-02-25
417,3264,s5608,4,2026-04-22
418,5860,s7759,5,2022-05-28
419,4667,s241,3,2020-12-14
420,4059,s5949,3,2020-07-29
421,4239,s6858,5,2026-05-13
422,1273,s5130,4,2025-09-09
423,3200,s6501,5,2024-03-02
424,1545,s4041,5,2024-02-25
425,5439,s3968,4,2022-12-28
426,216,s6505,2,2021-04-04
427,2005,s7393,4,2022-12-07
428,3314,s1938,2,2022-03-27
429,3260,s8728,5,2025-09-29
430,3047,s3375,4,2024-07-24
431,4967,s1483,3,2026-01-10
432,2374,s5900,3,2020-12-07
433,2398,s7439,5,2021-05-30
434,1905,s1732,3,2021-07-31
435,12,s1656,5,2025-11-11
436,675,s754,1,2024-07-10
437,1969,s413,4,2019-02-02
438,2840,s316,5,2023-01-14
439,5407,s8334,5,2021-05-23
440,2822,s4214,5,2021-07-26
441,2229,s8044,3,2021-07-09
442,3425,s6459,4,2022-11-10
443,4162,s410,5,2025-06-11
444,4146,s8644,5,2023-06-21
445,3735,s4532,4,2020-09-04
446,5704,s4218,5,2025-05-03
447,658,s833,4,2019-08-18
448,4677,s5600,5,2021-12-31
449,1843,s3013,5,2019-05-11
450,1905,s5468,3,2022-05-21
451,5852,s3119,3,2019-11-24
452,837,s7144,5,2022-12-15
453,71,s4214,3,2024-01-12
454,5512,s2538,4,2021-04-04
455,62,s131,5,2024-01-27
456,4565,s3813,5,2020-08-29
457,4266,s7283,5,2021-06-19
458,5589,s7199,4,2020-07-06
459,3087,s5956,4,2020-02-11
460,1833,s5083,4,2019-01-10
461,562,s2170,3,2025-03-29
462,3076,s4210,5,2023-06-08
463,3752,s6642,4,2021-12-04
464,4751,s3175,5,2019-07-22
465,2028,s8285,2,2021-05-20
466,5316,s6576,5,2020-06-22
467,218,s924,4,2019-07-30
468,3456,s8644,1,2020-08-02
469,1632,s285,5,2021-03-23
470,3410,s855,3,2020-05-05
471,4608,s7168,4,2025-08-29
472,3124,s7346,3,2022-09-07
473,2078,s8655,4,2021-12-20
474,613,s7467,2,2025-11-26
475,4192,s5561,5,2023-06-23
476,5435,s3402,4,2019-09-15
477,563,s7875,4,2025-07-22
478,3173,s5922,4,2025-05-23
479,1710,s326,2,2020-05-18
480,935,s3140,5,2025-09-06
481,3840,s7179,3,2025-07-02
482,52,s7543,5,2021-11-06
483,5831,s2220,3,2024-06-06
484,1079,s6673,4,2019-07-26
485,4875,s5374,3,2023-01-14
486,155,s6203,4,2026-03-03
487,2624,s4123,4,2024-02-10
488,1494,s1654,5,2025-09-03
489,2843,s1133,3,2022-01-07
490,2326,s2425,4,2023-01-16
491,3473,s4175,4,2023-06-17
492,1868,s2806,4,2020-05-12
493,1862,s8174,4,2019-08-21
494,1491,s2856,4,2019-09-09
495,5451,s7016,5,2026-05-27
496,3027,s5724,3,2026-03-14
497,5211,s6340,2,2022-08-15
498,5054,s8657,5,2024-02-27
499,322,s792,4,2026-05-04
500,1838,s3529,5,2021-05-03
501,2660,s3846,4,2022-05-25
502,1749,s1483,3,2023-07-18
503,1668,s1092,2,2026-04-26
504,342,s3015,4,2019-02-13
505,5189,s5739,5,2024-03-28
506,4637,s149,5,2025-05-16
507,1436,s6436,5,2019-01-20
508,5035,s5361,4,2023-05-12
509,4391,s6086,5,2020-12-13
510,3948,s8374,5,2025-10-28
511,4479,s4559,4,2024-03-23
512,3778,s7819,5,2024-08-27
513,5404,s7307,5,2021-11-13
514,4459,s6279,3,2023-11-26
515,3378,s974,2,2019-04-25
516,4173,s5636,4,2022-07-03
517,3480,s818,5,2022-12-19
518,1146,s2937,5,2019-08-27
519,3110,s4873,3,2024-08-31
520,4000,s4475,3,2021-10-12
521,2479,s6594,5,2025-07-10
522,2692,s8073,5,2022-07-25
523,3353,s8049,4,2019-04-20
524,1537,s4558,2,2026-06-02
525,3000,s2633,4,2022-03-09
526,1857,s4747,5,2025-06-25
527,1033,s1222,4,2020-12-15
528,1609,s5828,4,2022-01-05
529,5170,s2910,1,2020-09-06
530,3144,s6627,4,2023-08-23
531,1081,s1152,5,2023-12-21
532,5105,s2495,5,2024-10-13
533,3196,s4889,5,2020-08-21
534,3783,s8130,4,2025-09-08
535,5346,s2150,3,2024-04-06
536,1109,s5902,4,2019-11-20
537,5532,s2077,5,2022-10-10
538,5539,s5361,5,2020-02-22
539,5516,s1483,5,2023-12-25
540,5500,s1704,3,2022-05-05
541,1168,s6526,4,2021-06-17
542,5545,s5099,4,2024-01-21
543,2499,s3046,3,2024-04-13
544,5214,s5901,3,2019-01-20
545,5151,s5703,4,2019-07-10
546,1203,s2547,1,2024-02-02
547,3087,s2090,2,2021-10-24
548,4081,s3985,5,2022-12-08
549,3386,s8150,3,2024-12-01
550,2703,s6341,1,2020-12-14
551,2541,s669,5,2025-07-24
552,1728,s3121,3,2025-03-18
553,427,s5281,4,2021-05-28
554,5449,s7246,3,2020-01-08
555,3410,s194,5,2022-03-30
556,4638,s2684,5,2022-09-03
557,4597,s3123,5,2024-01-07
558,1195,s3464,4,2025-01-13
559,3757,s7517,2,2019-12-09
560,5849,s7024,3,2025-03-14
561,4119,s7739,4,2021-12-15
562,324,s149,5,2025-04-21
563,615,s7412,2,2020-04-02
564,2438,s5062,5,2024-09-27
565,4829,s8562,4,2022-11-08
566,1318,s7780,5,2020-02-16
567,3380,s6701,5,2026-01-03
568,2381,s3114,5,2022-04-06
569,364,s8478,2,2019-01-17
570,3183,s3197,5,2020-06-10
571,1670,s4363,2,2024-08-02
572,5554,s4865,5,2026-02-08
573,106,s4955,4,2020-05-01
574,5161,s176,2,2020-02-18
575,5720,s693,1,2025-03-27
576,3881,s5432,5,2024-08-04
577,4190,s4080,2,2025-09-14
578,1696,s1017,3,2022-11-10
579,5078,s1120,2,2024-02-17
580,37,s234,1,2024-03-01
581,3348,s2849,4,2021-10-10
582,4289,s3446,4,2024-04-20
583,1972,s6460,4,2026-05-18
584,5161,s7489,3,2023-07-26
585,1853,s4772,4,2020-01-12
586,4855,s4584,2,2024-06-19
587,3598,s2395,4,2025-09-22
588,313,s3249,5,2020-02-24
589,1336,s5571,3,2021-04-10
590,4404,s2076,4,2021-12-15
591,3591,s4932,3,2025-09-02
592,4783,s5622,5,2019-09-25
593,5521,s2907,5,2021-12-08
594,3482,s82,4,2026-03-06
595,4955,s7582,4,2022-11-12
596,5052,s5773,5,2020-09-04
597,687,s1744,5,2020-07-22
598,2858,s4090,3,2021-08-23
599,1137,s5900,3,2026-03-10
600,3395,s2037,5,2023-06-27
601,3390,s5211,5,2022-03-16
602,3824,s535,4,2019-07-21
603,4067,s7934,4,2021-01-25
604,1101,s77,4,2026-06-15
605,3858,s3119,4,2019-10-17
606,2606,s6057,4,2024-05-28
607,5380,s8050,3,2023-01-30
608,4831,s16,5,2023-02-28
609,5756,s4393,5,2022-07-04
610,3420,s8414,2,2022-07-08
611,2770,s676,2,2022-07-21
612,1948,s4454,3,2019-06-27
613,4777,s3998,4,2020-09-08
614,3170,s5016,4,2024-05-19
615,2162,s7481,5,2023-08-14
616,669,s2692,4,2023-07-23
617,1804,s3834,4,2021-01-30
618,5533,s1599,5,2019-10-01
619,2598,s1307,5,2019-01-30
620,5158,s2833,4,2024-02-12
621,82,s8322,4,2019-02-02
622,4606,s3485,4,2021-11-09
623,4221,s3177,4,2023-04-05
624,5553,s4229,4,2024-11-12
625,1444,s1827,1,2021-07-25
626,4316,s3835,5,2020-04-26
627,1552,s1619,1,2020-06-01
628,3903,s2211,2,2019-06-27
629,4845,s2006,4,2021-05-01
630,3866,s3591,3,2020-03-06
631,403,s8381,2,2024-06-21
632,1265,s4812,3,2025-04-22
633,5067,s3112,5,2023-03-10
634,1060,s2501,5,2025-03-01
635,1026,s916,3,2025-11-11
636,1931,s8679,5,2024-03-11
637,3618,s3973,3,2021-04-21
638,2035,s5468,4,2022-02-03
639,4569,s2560,5,2024-08-28
640,4176,s8083,5,2020-09-04
641,2319,s4371,5,2024-11-30
642,2957,s5621,5,2026-06-15
643,3055,s8007,4,2020-05-09
644,5384,s7868,5,2019-02-27
645,4897,s8167,5,2023-01-15
646,94,s6757,5,2022-10-14
647,2974,s3097,5,2022-05-26
648,2700,s6765,3,2025-01-18
649,605,s581,5,2020-08-20
650,5733,s8494,3,2021-02-25
651,5649,s1828,4,2023-11-12
652,5511,s4229,4,2024-10-03
653,1962,s5956,4,2025-07-03
654,112,s6169,2,2026-01-01
655,5404,s1178,4,2020-02-01
656,2716,s4786,5,2019-02-20
657,5921,s3929,3,2019-08-23
658,2679,s2346,4,2023-11-09
659,576,s7297,4,2022-08-26
660,2214,s442,4,2019-09-22
661,3072,s1001,4,2023-03-14
662,955,s581,5,2022-01-17
663,1283,s7158,5,2023-12-14
664,297,s3447,3,2020-09-30
665,5847,s1091,2,2021-09-07
666,1180,s5533,1,2022-07-11
667,828,s7010,4,2022-03-30
668,4207,s663,5,2024-12-26
669,3182,s2394,4,2022-10-19
670,4573,s1107,4,2020-06-21
671,3198,s2289,5,2024-04-21
672,4027,s2881,4,2023-04-28
673,4941,s6467,3,2025-07-08
674,166,s2032,3,2021-03-12
675,5022,s5378,1,2020-05-04
676,2107,s8602,3,2020-08-26
677,5821,s7073,4,2021-02-20
678,3205,s3250,4,2025-01-13
679,1688,s145,5,2020-01-05
680,2817,s7524,4,2020-06-07
681,5522,s3099,5,2024-07-16
682,4795,s5949,4,2024-10-07
683,4152,s6496,5,2025-05-05
684,4641,s3974,5,2024-02-18
685,1466,s6392,2,2023-06-01
686,313,s3723,4,2022-09-04
687,5598,s5512,5,2025-03-02
688,5577,s3719,4,2020-06-02
689,1684,s7807,3,2019-01-07
690,4572,s7245,5,2022-10-25
691,1563,s1645,5,2024-02-02
692,2670,s1903,5,2019-12-16
693,1859,s1488,1,2025-08-23
694,283,s361,3,2019-09-03
695,4959,s5757,5,2024-12-07
696,2525,s4234,3,2019-04-15
697,1881,s1103,2,2023-10-02
698,3236,s2857,5,2024-01-13
699,4202,s1852,2,2023-07-20
700,3495,s891,5,2020-11-07
701,3863,s4284,3,2024-10-21
702,4709,s5323,4,2024-11-30
703,3973,s2867,5,2023-07-12
704,1054,s7275,4,2021-07-13
705,622,s4306,5,2023-10-05
706,4886,s4388,1,2023-07-07
707,856,s4739,2,2025-01-17
708,1127,s5200,5,2026-05-15
709,5007,s6446,4,2023-05-09
710,1837,s955,4,2023-08-31
711,5829,s1410,4,2022-11-06
712,5535,s6075,4,2023-11-16
713,374,s5157,4,2021-02-28
714,252,s3688,4,2024-08-06
715,727,s4944,4,2020-12-13
716,2749,s325,4,2023-01-02
717,2105,s3897,4,2023-09-06
718,5056,s4551,4,2024-07-10
719,2339,s3901,3,2023-07-01
720,5469,s1179,4,2021-10-29
721,4589,s1633,3,2024-07-13
722,2013,s17,2,2025-08-02
723,3550,s439,4,2023-11-10
724,175,s2041,5,2024-12-14
725,1713,s5377,4,2026-04-03
726,5357,s3170,4,2022-07-19
727,1736,s4857,4,2019-11-05
728,5588,s8273,5,2020-02-06
729,5806,s3401,4,2026-05-13
730,2603,s7295,3,2024-05-31
731,1075,s6766,5,2020-01-04
732,2588,s3766,5,2024-09-01
733,3983,s1632,4,2021-03-15
734,3314,s6526,4,2024-07-16
735,5752,s2363,3,2026-04-14
736,3163,s2205,5,2021-04-20
737,3896,s4144,3,2023-03-24
738,1443,s3255,5,2020-02-28
739,1037,s1674,5,2021-05-13
740,4791,s891,1,2024-06-02
741,117,s5537,5,2026-05-29
742,4189,s1980,2,2020-11-01
743,762,s8086,4,2022-05-16
744,1140,s3541,4,2022-09-18
745,5349,s5170,4,2025-02-20
746,5311,s2150,2,2019-02-03
747,1599,s4310,5,2025-04-10
748,5930,s365,3,2020-05-24
749,3066,s1672,2,2019-10-09
750,4095,s8700,4,2025-10-23
751,4080,s6940,5,2022-03-17
752,5000,s7173,4,2026-06-20
753,1703,s1096,4,2023-03-03
754,3278,s2339,5,2020-10-26
755,1823,s240,2,2019-03-21
756,2543,s5752,5,2026-03-18
757,4921,s3553,5,2022-01-23
758,3168,s2233,4,2025-05-12
759,2621,s4418,4,2022-04-27
760,5605,s4963,4,2019-12-27
761,2644,s6599,2,2021-11-29
762,5981,s7013,4,2026-06-24
763,1186,s4338,4,2022-09-07
764,3132,s2030,1,2023-04-07
765,1661,s1178,1,2021-10-14
766,1241,s6074,4,2020-12-04
767,4503,s2016,5,2020-09-03
768,5125,s2598,4,2023-09-19
769,4490,s7099,4,2020-02-24
770,3583,s5582,5,2021-09-27
771,1908,s7896,5,2026-01-07
772,4405,s6501,1,2026-03-28
773,4546,s7850,4,2021-05-28
774,4976,s4694,5,2021-10-25
775,1548,s2533,5,2020-03-29
776,1971,s7990,5,2021-01-05
777,3298,s2725,3,2023-12-02
778,2566,s6735,5,2025-01-13
779,5540,s8053,1,2026-01-20
780,4545,s8641,4,2023-12-05
781,608,s1401,3,2020-07-24
782,2632,s423,5,2022-08-26
783,1534,s2679,5,2026-05-30
784,3054,s3013,4,2019-07-18
785,1905,s5264,3,2019-02-14
786,1124,s5427,4,2020-02-10
787,2122,s503,4,2019-04-19
