subscription_id,user_id,plan_id,start_date,end_date,status,monthly_revenue
162,116,1,2022-06-27,2022-08-26,Cancelled,199.0
163,117,2,2023-02-20,2024-12-11,Cancelled,499.0
164,117,2,2025-01-11,,Active,499.0
165,118,1,2025-06-27,2025-08-26,Cancelled,199.0
166,119,2,2025-04-11,,Active,499.0
167,120,3,2025-02-25,2026-05-21,Cancelled,649.0
168,121,2,2020-06-21,2021-02-16,Cancelled,499.0
169,121,2,2021-04-12,,Active,499.0
170,122,2,2024-08-01,2024-10-30,Cancelled,499.0
171,122,3,2024-12-15,,Active,649.0
172,123,2,2026-06-19,,Active,499.0
173,124,1,2019-01-21,,Active,199.0
174,125,2,2025-07-04,2026-05-30,Cancelled,499.0
175,125,2,2026-06-24,,Active,499.0
176,126,3,2025-06-28,,Active,649.0
177,127,2,2025-04-22,2026-05-17,Cancelled,499.0
178,128,1,2021-12-21,2022-12-16,Cancelled,199.0
179,129,3,2020-06-28,2021-04-24,Cancelled,649.0
180,129,3,2021-06-08,2022-04-04,Cancelled,649.0
181,130,2,2024-06-26,,Active,499.0
182,131,2,2023-09-02,2024-03-30,Cancelled,499.0
183,132,1,2024-06-13,2025-05-09,Cancelled,199.0
184,133,2,2020-12-01,2021-03-31,Cancelled,499.0
185,134,1,2020-05-01,,Active,199.0
186,135,2,2025-10-04,2026-01-02,Cancelled,499.0
187,135,2,2026-02-28,,Active,499.0
188,136,1,2022-11-12,,Active,199.0
189,137,1,2025-05-19,2025-09-16,Cancelled,199.0
190,137,2,2025-10-08,,Active,499.0
191,138,3,2025-12-10,2026-01-09,Cancelled,649.0
192,139,1,2022-06-11,,Active,199.0
193,140,2,2020-12-21,,Active,499.0
194,141,2,2025-09-18,,Active,499.0
195,142,1,2024-05-11,2024-09-08,Cancelled,199.0
196,142,2,2024-11-06,2025-02-04,Cancelled,499.0
197,143,3,2023-12-29,2025-08-20,Cancelled,649.0
198,144,1,2026-03-08,,Active,199.0
199,145,2,2020-11-05,2022-03-30,Cancelled,499.0
200,145,2,2022-04-12,2022-05-12,Cancelled,499.0
201,146,1,2021-09-14,,Active,199.0
202,147,1,2019-04-17,2020-12-07,Cancelled,199.0
203,148,2,2021-11-27,,Active,499.0
204,149,3,2022-05-07,2024-02-26,Cancelled,649.0
205,150,2,2022-05-24,2023-08-17,Cancelled,499.0
206,150,3,2023-08-26,2024-03-23,Cancelled,649.0
207,150,2,2024-05-13,2024-10-10,Cancelled,499.0
208,151,2,2020-02-18,,Active,499.0
209,152,2,2025-01-24,2025-05-24,Cancelled,499.0
210,153,3,2022-09-01,2023-02-28,Cancelled,649.0
211,153,3,2023-04-03,,Active,649.0
212,154,2,2022-04-17,2024-01-07,Cancelled,499.0
213,154,1,2024-02-22,2024-08-20,Cancelled,199.0
214,155,3,2025-06-23,2026-01-19,Cancelled,649.0
215,156,1,2022-08-24,,Active,199.0
216,157,2,2025-09-08,2025-10-08,Cancelled,499.0
217,157,3,2025-12-04,,Active,649.0
218,158,1,2020-08-31,2021-10-25,Cancelled,199.0
219,158,1,2021-12-16,2023-03-11,Cancelled,199.0
220,158,3,2023-03-18,2023-06-16,Cancelled,649.0
221,159,3,2025-05-18,,Active,649.0
222,160,3,2026-05-30,,Active,649.0
223,161,2,2024-08-16,2026-03-09,Cancelled,499.0
224,161,3,2026-05-04,,Active,649.0
225,162,3,2025-09-09,,Active,649.0
226,163,2,2024-07-19,2025-11-11,Cancelled,499.0
227,164,1,2023-07-02,,Active,199.0
228,165,2,2024-09-22,2024-11-21,Cancelled,499.0
229,166,3,2026-03-15,,Active,649.0
230,167,2,2023-07-15,2025-04-05,Cancelled,499.0
231,168,1,2024-02-24,2025-03-20,Cancelled,199.0
232,169,2,2019-08-05,2019-09-04,Cancelled,499.0
233,170,3,2026-03-11,,Active,649.0
234,171,2,2024-10-30,,Active,499.0
235,172,2,2020-03-18,,Active,499.0
236,173,2,2021-03-04,2022-02-27,Cancelled,499.0
237,173,2,2022-03-29,2023-11-19,Cancelled,499.0
238,173,2,2023-12-16,2024-08-12,Cancelled,499.0
239,174,1,2020-09-09,2022-03-03,Cancelled,199.0
240,175,2,2021-05-25,2021-08-23,Cancelled,499.0
241,176,3,2025-08-20,,Active,649.0
242,177,2,2022-06-25,2023-08-19,Cancelled,499.0
243,177,3,2023-10-10,,Active,649.0
244,178,2,2022-02-23,2022-07-23,Cancelled,499.0
245,179,1,2024-11-02,2025-08-29,Cancelled,199.0
246,180,2,2021-10-13,2021-11-12,Cancelled,499.0
247,180,2,2021-11-15,2023-09-06,Cancelled,499.0
248,181,2,2025-08-22,,Active,499.0
249,182,2,2024-08-27,2026-05-19,Cancelled,499.0
250,182,3,2026-07-16,,Active,649.0
251,183,2,2020-12-04,,Active,499.0
252,184,1,2023-09-22,2024-10-16,Cancelled,199.0
253,185,2,2022-08-14,2023-05-11,Cancelled,499.0
254,185,1,2023-05-20,,Active,199.0
255,186,2,2021-07-31,,Active,499.0
256,187,3,2025-10-17,,Active,649.0
257,188,2,2021-12-25,2022-09-21,Cancelled,499.0
258,189,1,2019-11-16,2021-07-08,Cancelled,199.0
259,189,3,2021-07-10,2023-01-31,Cancelled,649.0
260,190,3,2022-01-23,2023-08-16,Cancelled,649.0
261,191,2,2022-11-15,2023-03-15,Cancelled,499.0
262,191,2,2023-05-12,,Active,499.0
263,192,1,2019-12-12,2021-02-04,Cancelled,199.0
264,193,3,2024-07-26,,Active,649.0
265,194,1,2020-09-20,,Active,199.0
266,195,1,2019-09-11,,Active,199.0
267,196,1,2023-01-11,2024-11-01,Cancelled,199.0
268,196,3,2024-12-02,2026-05-26,Cancelled,649.0
269,197,2,2020-03-16,2021-02-09,Cancelled,499.0
270,198,2,2024-11-10,2024-12-10,Cancelled,499.0
271,198,1,2025-01-15,,Active,199.0
272,199,2,2019-07-07,2020-05-02,Cancelled,499.0
273,200,1,2022-02-21,,Active,199.0
274,201,2,2019-05-22,2019-12-18,Cancelled,499.0
275,201,1,2020-01-13,2020-10-09,Cancelled,199.0
276,201,2,2020-10-14,2022-02-06,Cancelled,499.0
277,202,1,2021-11-15,,Active,199.0
278,203,1,2025-12-30,,Active,199.0
279,204,2,2023-11-17,2023-12-17,Cancelled,499.0
280,204,2,2024-01-24,2024-11-19,Cancelled,499.0
281,205,2,2023-01-05,2024-08-27,Cancelled,499.0
282,205,1,2024-09-06,2026-03-30,Cancelled,199.0
283,205,1,2026-05-13,,Active,199.0
284,206,2,2020-03-06,2020-07-04,Cancelled,499.0
285,207,2,2021-05-06,,Active,499.0
286,208,1,2021-11-08,2022-05-07,Cancelled,199.0
287,209,1,2023-05-04,2023-10-01,Cancelled,199.0
288,209,2,2023-11-03,2024-04-01,Cancelled,499.0
289,210,3,2020-07-23,2021-03-20,Cancelled,649.0
290,211,1,2026-06-30,,Active,199.0
291,212,2,2023-11-20,,Active,499.0
292,213,1,2021-05-03,2022-02-27,Cancelled,199.0
293,213,1,2022-04-22,2022-05-22,Cancelled,199.0
294,214,1,2019-11-04,2020-01-03,Cancelled,199.0
295,215,2,2023-06-18,2023-07-18,Cancelled,499.0
296,215,2,2023-08-24,2024-07-19,Cancelled,499.0
297,215,1,2024-08-06,2025-08-01,Cancelled,199.0
298,216,2,2022-05-11,2022-06-10,Cancelled,499.0
299,216,2,2022-08-05,,Active,499.0
300,217,2,2024-01-20,2025-01-14,Cancelled,499.0
301,218,2,2023-06-21,2024-01-17,Cancelled,499.0
302,219,2,2023-10-20,2025-08-10,Cancelled,499.0
303,219,3,2025-08-12,2025-11-10,Cancelled,649.0
304,220,2,2025-04-01,,Active,499.0
305,221,2,2022-12-08,,Active,499.0
306,222,3,2024-06-06,2024-10-04,Cancelled,649.0
307,223,2,2021-09-10,2022-04-08,Cancelled,499.0
308,224,2,2026-01-25,,Active,499.0
309,225,1,2022-01-22,,Active,199.0
310,226,1,2024-02-05,2025-03-31,Cancelled,199.0
311,227,3,2026-06-26,,Active,649.0
312,228,1,2021-08-14,,Active,199.0
313,229,3,2019-10-06,2021-07-27,Cancelled,649.0
314,230,1,2020-09-26,2021-12-20,Cancelled,199.0
315,230,1,2022-01-07,2023-11-28,Cancelled,199.0
316,231,3,2020-10-29,2021-09-24,Cancelled,649.0
317,231,2,2021-10-04,2022-07-01,Cancelled,499.0
318,231,2,2022-07-09,2024-05-29,Cancelled,499.0
319,232,2,2019-06-04,,Active,499.0
320,233,1,2023-01-29,,Active,199.0
321,234,2,2021-01-30,2021-09-27,Cancelled,499.0
322,235,1,2019-09-23,2020-03-21,Cancelled,199.0
323,236,3,2020-01-10,,Active,649.0
324,237,1,2021-01-18,,Active,199.0
325,238,1,2021-10-07,2022-06-04,Cancelled,199.0
326,238,3,2022-07-24,2022-11-21,Cancelled,649.0
327,238,3,2022-12-28,2024-10-18,Cancelled,649.0
328,239,3,2026-04-22,,Active,649.0
329,240,1,2024-04-07,2025-04-02,Cancelled,199.0
330,240,1,2025-04-05,,Active,199.0
331,241,3,2024-05-10,2026-01-30,Cancelled,649.0
332,242,3,2024-03-09,2024-05-08,Cancelled,649.0
333,242,2,2024-06-28,2025-04-24,Cancelled,499.0
334,243,2,2025-01-08,,Active,499.0
335,244,2,2021-05-21,2022-12-12,Cancelled,499.0
336,244,1,2022-12-15,2023-04-14,Cancelled,199.0
337,244,1,2023-05-20,,Active,199.0
338,245,2,2019-09-30,,Active,499.0
339,246,3,2022-10-24,2024-07-15,Cancelled,649.0
340,247,2,2019-01-04,2020-07-27,Cancelled,499.0
341,248,1,2020-08-16,,Active,199.0
342,249,1,2024-08-23,2025-03-21,Cancelled,199.0
343,250,2,2022-10-09,2023-01-07,Cancelled,499.0
344,251,2,2024-03-06,2024-06-04,Cancelled,499.0
345,252,3,2022-10-28,2023-04-26,Cancelled,649.0
346,252,3,2023-06-24,,Active,649.0
347,253,1,2023-01-25,2024-04-19,Cancelled,199.0
348,254,1,2021-04-04,2022-10-26,Cancelled,199.0
349,255,2,2020-08-21,2022-07-12,Cancelled,499.0
350,255,1,2022-07-20,2024-05-10,Cancelled,199.0
351,256,2,2020-12-11,2021-11-06,Cancelled,499.0
352,257,1,2024-12-25,2025-05-24,Cancelled,199.0
353,258,1,2026-05-06,,Active,199.0
354,259,3,2019-08-13,,Active,649.0
355,260,2,2023-01-10,2024-08-02,Cancelled,499.0
356,261,2,2022-07-11,2024-02-01,Cancelled,499.0
357,262,3,2023-03-19,2024-09-09,Cancelled,649.0
358,263,2,2020-09-29,,Active,499.0
359,264,1,2019-01-22,2020-02-16,Cancelled,199.0
360,265,1,2020-07-10,2021-03-07,Cancelled,199.0
361,265,1,2021-03-10,2021-05-09,Cancelled,199.0
362,266,3,2020-05-12,2021-12-03,Cancelled,649.0
363,267,2,2019-05-24,2019-12-20,Cancelled,499.0
364,267,2,2020-01-23,2021-02-16,Cancelled,499.0
365,267,1,2021-02-25,2022-04-21,Cancelled,199.0
366,268,1,2021-09-03,2022-10-28,Cancelled,199.0
367,269,1,2024-02-16,2025-09-08,Cancelled,199.0
368,270,3,2026-03-29,,Active,649.0
369,271,3,2023-12-05,2025-03-29,Cancelled,649.0
370,271,1,2025-04-24,2025-11-20,Cancelled,199.0
371,272,3,2020-04-24,,Active,649.0
372,273,3,2021-09-18,2023-08-09,Cancelled,649.0
373,273,2,2023-09-22,2024-10-16,Cancelled,499.0
374,274,1,2021-04-10,2021-11-06,Cancelled,199.0
375,275,1,2020-08-03,2021-11-26,Cancelled,199.0
376,275,3,2022-01-14,,Active,649.0
377,276,2,2026-06-04,,Active,499.0
378,277,2,2023-12-01,2024-05-29,Cancelled,499.0
379,278,3,2022-08-10,2023-04-07,Cancelled,649.0
380,279,2,2022-04-10,2022-10-07,Cancelled,499.0
381,280,3,2021-05-21,2023-04-11,Cancelled,649.0
382,280,3,2023-04-25,2025-01-14,Cancelled,649.0
383,281,3,2022-02-15,2024-01-06,Cancelled,649.0
384,282,3,2023-10-03,2024-04-30,Cancelled,649.0
385,282,3,2024-06-08,,Active,649.0
386,283,1,2025-12-16,,Active,199.0
387,284,2,2022-09-20,2024-05-12,Cancelled,499.0
388,284,3,2024-05-30,,Active,649.0
389,285,2,2020-05-21,,Active,499.0
390,286,3,2026-03-06,2026-04-05,Cancelled,649.0
391,286,2,2026-05-16,,Active,499.0
392,287,2,2021-05-12,2022-01-07,Cancelled,499.0
393,287,2,2022-01-28,2022-11-24,Cancelled,499.0
394,288,1,2019-08-16,,Active,199.0
395,289,3,2023-01-29,,Active,649.0
396,290,3,2024-12-04,,Active,649.0
397,291,1,2020-12-06,2022-01-30,Cancelled,199.0
398,291,3,2022-03-04,2023-04-28,Cancelled,649.0
399,292,1,2021-02-03,2021-06-03,Cancelled,199.0
400,292,2,2021-07-14,2021-08-13,Cancelled,499.0
401,293,2,2021-03-02,2021-05-01,Cancelled,499.0
402,293,1,2021-05-18,,Active,199.0
403,294,1,2025-01-17,2026-03-13,Cancelled,199.0
404,295,2,2026-03-06,,Active,499.0
405,296,3,2025-05-10,,Active,649.0
406,297,2,2020-09-11,2021-07-08,Cancelled,499.0
407,297,2,2021-08-24,,Active,499.0
408,298,2,2025-05-14,,Active,499.0
409,299,3,2021-04-27,2022-07-21,Cancelled,649.0
410,300,1,2025-07-01,,Active,199.0
411,301,1,2026-06-07,,Active,199.0
412,302,2,2024-05-20,2025-10-12,Cancelled,499.0
413,302,2,2025-10-22,,Active,499.0
414,303,2,2026-02-28,,Active,499.0
415,304,2,2020-01-25,2020-11-20,Cancelled,499.0
416,304,2,2020-12-08,,Active,499.0
417,305,3,2023-11-28,2025-02-20,Cancelled,649.0
418,305,3,2025-03-06,,Active,649.0
419,306,1,2019-05-23,2019-09-20,Cancelled,199.0
420,307,2,2023-11-21,,Active,499.0
421,308,3,2021-07-22,2023-04-13,Cancelled,649.0
422,308,3,2023-06-05,,Active,649.0
423,309,2,2026-04-09,,Active,499.0
424,310,1,2022-09-17,2023-12-11,Cancelled,199.0
425,311,2,2024-09-18,,Active,499.0
426,312,3,2021-04-08,2021-05-08,Cancelled,649.0
427,312,1,2021-07-02,,Active,199.0
428,313,2,2019-07-24,2021-03-15,Cancelled,499.0
429,314,2,2024-07-25,,Active,499.0
430,315,1,2020-08-30,2020-11-28,Cancelled,199.0
431,316,2,2024-06-01,2026-04-22,Cancelled,499.0
432,316,1,2026-05-05,,Active,199.0
433,317,3,2022-06-26,2024-05-16,Cancelled,649.0
434,317,2,2024-05-19,2025-09-11,Cancelled,499.0
435,318,1,2026-04-15,,Active,199.0
436,319,2,2021-08-23,2023-01-15,Cancelled,499.0
437,320,3,2022-01-01,2022-10-28,Cancelled,649.0
438,321,2,2024-07-20,2025-10-13,Cancelled,499.0
439,321,2,2025-11-30,2026-02-28,Cancelled,499.0
440,322,1,2024-11-21,,Active,199.0
441,323,3,2019-12-11,2021-10-31,Cancelled,649.0
442,323,2,2021-12-16,2023-09-07,Cancelled,499.0
443,324,1,2024-07-22,2025-02-17,Cancelled,199.0
444,325,3,2022-09-07,,Active,649.0
445,326,3,2026-05-31,,Active,649.0
446,327,3,2023-09-24,,Active,649.0
447,328,1,2024-10-19,2025-08-15,Cancelled,199.0
448,329,2,2021-07-30,2022-06-25,Cancelled,499.0
449,330,1,2021-02-15,,Active,199.0
450,331,2,2024-11-19,2026-05-13,Cancelled,499.0
451,331,1,2026-06-17,,Active,199.0
452,332,3,2019-02-11,2020-08-04,Cancelled,649.0
453,332,2,2020-08-18,2022-03-11,Cancelled,499.0
454,333,3,2023-05-09,2023-12-05,Cancelled,649.0
455,333,2,2023-12-17,2025-07-09,Cancelled,499.0
456,334,1,2026-04-04,,Active,199.0
457,335,3,2026-06-06,,Active,649.0
458,336,2,2024-05-14,2025-07-08,Cancelled,499.0
459,336,1,2025-08-18,,Active,199.0
460,337,2,2022-09-23,2023-09-18,Cancelled,499.0
461,338,3,2025-02-02,2025-12-29,Cancelled,649.0
462,338,1,2026-01-27,,Active,199.0
463,339,2,2019-02-10,2020-05-05,Cancelled,499.0
464,340,2,2024-12-11,,Active,499.0
465,341,1,2020-06-04,,Active,199.0
466,342,2,2024-07-07,,Active,499.0
467,343,3,2021-08-10,,Active,649.0
468,344,3,2024-08-19,2024-10-18,Cancelled,649.0
469,344,3,2024-11-12,2025-12-07,Cancelled,649.0
470,344,2,2025-12-13,,Active,499.0
471,345,2,2023-07-10,2023-11-07,Cancelled,499.0
472,346,1,2025-12-19,,Active,199.0
473,347,2,2024-11-25,2024-12-25,Cancelled,499.0
474,347,2,2025-02-08,,Active,499.0
475,348,2,2025-11-07,,Active,499.0
476,349,1,2020-02-19,,Active,199.0
477,350,1,2021-11-04,2022-01-03,Cancelled,199.0
478,351,3,2022-04-12,2022-07-11,Cancelled,649.0
479,352,2,2019-03-26,2020-04-19,Cancelled,499.0
480,353,1,2019-03-04,2020-07-26,Cancelled,199.0
481,353,1,2020-08-04,2022-04-26,Cancelled,199.0
482,354,2,2019-04-16,2020-01-11,Cancelled,499.0
483,355,1,2024-10-01,,Active,199.0
484,356,1,2022-05-07,2023-01-02,Cancelled,199.0
485,357,3,2024-08-20,,Active,649.0
486,358,2,2025-04-05,,Active,499.0
487,359,3,2019-04-09,,Active,649.0
488,360,1,2025-05-09,,Active,199.0
489,361,1,2020-09-09,2021-01-07,Cancelled,199.0
490,361,3,2021-02-16,,Active,649.0
491,362,1,2022-01-12,,Active,199.0
492,363,2,2026-03-21,,Active,499.0
493,364,2,2021-04-05,,Active,499.0
494,365,3,2026-01-17,2026-03-18,Cancelled,649.0
495,366,2,2022-10-19,2023-12-13,Cancelled,499.0
496,367,1,2019-02-06,2020-07-30,Cancelled,199.0
497,368,2,2025-03-29,2026-01-23,Cancelled,499.0
498,368,2,2026-03-15,,Active,499.0
499,369,2,2019-05-02,2020-05-26,Cancelled,499.0
500,370,1,2023-10-09,2024-01-07,Cancelled,199.0
501,370,2,2024-02-20,2024-06-19,Cancelled,499.0
502,370,2,2024-07-29,2025-08-23,Cancelled,499.0
503,371,1,2022-06-09,2023-04-05,Cancelled,199.0
504,372,1,2020-01-18,2020-05-17,Cancelled,199.0
505,373,2,2022-11-10,2024-08-01,Cancelled,499.0
506,373,1,2024-08-18,,Active,199.0
507,374,2,2021-09-18,2022-12-12,Cancelled,499.0
508,375,2,2019-09-27,2020-11-20,Cancelled,499.0
509,375,2,2021-01-10,2022-01-05,Cancelled,499.0
510,376,3,2023-03-01,2023-06-29,Cancelled,649.0
511,377,1,2019-05-01,,Active,199.0
512,378,3,2023-01-13,2023-07-12,Cancelled,649.0
513,379,2,2020-09-10,2020-11-09,Cancelled,499.0
514,379,1,2020-11-25,2022-01-19,Cancelled,199.0
515,379,2,2022-02-05,,Active,499.0
516,380,2,2025-03-24,,Active,499.0
517,381,2,2026-02-14,2026-04-15,Cancelled,499.0
518,382,2,2025-12-27,,Active,499.0
519,383,1,2026-01-11,,Active,199.0
520,384,2,2019-10-03,2021-02-24,Cancelled,499.0
521,384,2,2021-04-17,,Active,499.0
522,385,2,2022-10-27,2024-04-19,Cancelled,499.0
523,385,3,2024-05-20,,Active,649.0
524,386,2,2020-09-06,2022-05-29,Cancelled,499.0
525,387,1,2019-09-22,2021-06-13,Cancelled,199.0
526,388,2,2021-12-09,2022-01-08,Cancelled,499.0
